类型,模型权重/数据集,大小,备注,使用测试脚本(相对test/registered/npu)
模型,meta-llama/Llama-4-Scout-17B-16E-Instruct,217.32 GB,"via HF (huggingface.co), 64 files",llm_models/test_npu_llama4_scount_17b_16e.py
模型,ZhipuAI/GLM-4.5V,215.45 GB,57 files,vlm_models/test_npu_glm_4_5v.py
模型,Qwen/Qwen3-Next-80B-A3B-Instruct,162.68 GB,52 files,accuracy/qwen3_next_80b_a3b_instruct/test_npu_qwen3_next_80b_w8a8_2p_in6k_out1k5_bs16_aime25.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_qwen3_next.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_qwen3_next.py | basic_function/pd_disaggregation/test_npu_disaggregation_hybrid_attention.py | llm_models/test_npu_qwen3_next_80b.py
模型,Qwen/Qwen2.5-VL-72B-Instruct,146.83 GB,51 files,vlm_models/test_npu_encoder_dp.py | vlm_models/test_npu_qwen2_5_vl_72b_instruct.py
模型,mistralai/Mistral-Small-3.1-24B-Instruct-2503,96.08 GB,26 files,vlm_models/test_npu_mistral_small_3_1_24b_instruct_2503.py
模型,vllm-ascend/Qwen3-Next-80B-A3B-Instruct-W8A8,84.9 GB,32 files,accuracy/qwen3_next_80b_a3b_instruct/test_npu_qwen3_next_80b_w8a8_2p_in6k_out1k5_bs16_aime25.py
模型,Qwen/Qwen3.5-35B-A3B,71.93 GB,28 files,basic_function/Multi-Modal/test_npu_multimodal_moe_eplb.py | basic_function/Multi-Modal/test_npu_multimodal_moe_gdn.py | basic_function/Multi-Modal/test_npu_multimodal_moe_multistream.py | basic_function/Multi-Modal/test_npu_multimodal_reasoning_parser.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_dispatcher_output_dtype.py
模型,Qwen/Qwen3.6-35B-A3B,71.93 GB,40 files,accuracy/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_aime26.py | accuracy/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_prefix90_50ms_aime26.py | basic_function/optimization_debug_options/test_npu_attn_tp_gather_fuseep.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1080p_30_out256_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in128k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in128k_out1k_prefix90_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in254k_out1k.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in3k5_out1k5_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_2p_in984k_out1k.py
模型,Qwen/Qwen3-Omni-30B-A3B-Instruct,70.53 GB,26 files,vlm_models/test_npu_qwen3_omni_30b_a3b_instruct.py
模型,CohereForAI/c4ai-command-r-v01,69.97 GB,24 files,basic_function/api_related/test_npu_api_related.py
模型,Qwen/Qwen3-32B,65.54 GB,28 files,accuracy/qwen3_32b/test_npu_qwen3_32b_bf16_8p_gpqa.py | basic_function/Custom_weight_loader/test_npu_prefetch_checkpoints_multi_npu.py | basic_function/HiCache/test_npu_disaggregation_hicache.py | basic_function/HiCache/test_npu_enable_offload_kvcache_cached_tokens.py | basic_function/HiCache/test_npu_hicache_io_backend.py | basic_function/HiCache/test_npu_hierarchical_cache_ttft_mha.py | basic_function/api_related/test_npu_api_related_tool_call.py | basic_function/debug_tensor/test_npu_debug_tensor_dump_output_folder.py | basic_function/debug_tensor/test_npu_debug_tensor_dumps.py | basic_function/dp_attn/test_npu_dp_attention.py | basic_function/forward/test_npu_forward_hooks.py | basic_function/ha/test_npu_pd_disaggregation_ha_mixed_worker_failover.py | basic_function/ha/test_npu_router_ha_mixed_worker_failover.py | basic_function/memory_and_scheduling/test_npu_schedule_conservativeness.py | basic_function/offloading/test_npu_cpu_offload_gb.py | basic_function/optimization_debug_options/test_npu_enable_custom_logit_processor.py | basic_function/parameter/test_npu_dynamic_batch_tokenizer_params.py | basic_function/pd_disaggregation/test_npu_pd_disaggregation.py | basic_function/quantization_and_data_type/test_npu_enable_fp32_lm_head.py | llm_models/test_npu_qwen3_32b.py
模型,Qwen/Qwen3-Omni-30B-A3B-Thinking,63.45 GB,26 files,accuracy/qwen3_omni_30b_a3b_thinking/test_npu_qwen3_omni_30b_a3b_thinking_1p_mmmu.py
模型,google/gemma-4-31B-it,62.58 GB,14 files,vlm_models/test_npu_vision_openai_server_a.py
模型,ZhipuAI/GLM-4.7-Flash,62.47 GB,60 files,accuracy/glm4_7_flash/test_npu_glm4_7_flash_1p_aime25.py | accuracy/glm4_7_flash/test_npu_glm4_7_flash_1p_gsm8k.py
模型,Qwen/Qwen3-VL-30B-A3B-Instruct,62.15 GB,26 files,accuracy/qwen3_vl_30b_a3b/test_npu_qwen3_vl_30b_a3b_bf16_2p_gsm8k.py | basic_function/EPD/test_npu_adaptive_dispatch_to_encoder.py | basic_function/EPD/test_npu_disaggregated_vlm.py | vlm_models/test_npu_qwen3_vl_30b_a3b_instruct.py | vlm_models/test_npu_vision_openai_server_a.py
模型,Qwen/Qwen3-VL-30B-A3B-Thinking,62.15 GB,26 files,accuracy/qwen3_vl_30b_a3b_thinking/test_npu_qwen3_vl_30b_a3b_thinking_1p_mmmu.py
模型,Qwen/Qwen3-30B-A3B,61.08 GB,27 files,basic_function/api_related/test_npu_sampling_default.py | basic_function/export_metrics/test_npu_export_metrics.py | basic_function/pd_disaggregation/test_npu_pd_disaggregation_optimistic.py | basic_function/rl/test_npu_rl_release_memory_occupation.py | basic_function/speculative_inference/test_npu_eagle_dp_attention.py | interface/test_npu_enable_thinking.py | llm_models/test_npu_qwen3_30b_attn_cp.py
模型,Qwen/Qwen3-30B-A3B-Instruct-2507,61.08 GB,28 files,basic_function/lora/test_npu_experts_shared_outer_lora.py | basic_function/parallel_strategy/data_parallelism/test_npu_load_balance_method_pd_disaggregation.py | basic_function/parallel_strategy/expert_parallelism/test_npu_ep_dispatch_algorithm.py | basic_function/parallel_strategy/expert_parallelism/test_npu_expert_distribution_recorder_mode.py | basic_function/parallel_strategy/expert_parallelism/test_npu_init-expert-location.py | basic_function/rl/test_npu_rl_release_memory_occupation.py | llm_models/test_npu_qwen3_30b.py
模型,Qwen/Qwen3.5-27B,55.59 GB,25 files,basic_function/api_related/test_npu_api_related_tool_call.py
模型,Qwen/Qwen3.6-27B,55.59 GB,29 files,accuracy/qwen3_6_27b/test_npu_qwen3_6_27b_1p_gpqa.py | basic_function/lora/test_npu_lora_qwen3_6_27b_logprob_diff.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1080p_30_out256_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_2p_in64k_out1k_prefix90_50ms.py
模型,AI-ModelScope/Skywork-Reward-Gemma-2-27B-v0.2,54.47 GB,25 files,reward_models/test_npu_gemma_2_27b_v0_2.py
模型,arcee-ai/Trinity-Mini,52.27 GB,24 files,llm_models/test_npu_trinity_mini.py
模型,baidu/ERNIE-4.5-21B-A3B-PT,43.92 GB,"via HF (huggingface.co), 21 files",llm_models/test_npu_ernie_4_5_21b_a3b_pt.py
模型,vllm-ascend/QWQ-32B-W8A8,43.44 GB,9 files,llm_models/test_npu_qwq_32b_w8a8.py
模型,aleoyang/Qwen3-32B-w8a8-MindIE,42.77 GB,21 files,accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa_a2.py | basic_function/speculative_inference/test_npu_speculative_attention_mode.py | basic_function/speculative_inference/test_npu_speculative_multi_npu.py | basic_function/speculative_inference/test_npu_speculative_token_map.py
模型,Eco-Tech/Qwen3.5-35B-A3B-w8a8-mtp,39.81 GB,23 files,basic_function/Multi-Modal/test_npu_multimodal_quantization_chunked.py | basic_function/forward/test_npu_enable_quant_communications.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_dispatcher_output_dtype.py | basic_function/parallel_strategy/expert_parallelism/test_npu_enable_waterfill.py
模型,Eco-Tech/Qwen3-32B-w4a4-LAOS,34.37 GB,21 files,basic_function/quant/test_npu_w4a4_quantization.py
模型,inclusionAI/Ling-lite,33.61 GB,78 files,llm_models/test_npu_ling_lite.py
模型,moonshotai/Kimi-VL-A3B-Instruct,32.82 GB,27 files,basic_function/dp_attn/test_npu_dp_attention.py | vlm_models/test_npu_kimi_vl_a3b_instruct.py | vlm_models/test_npu_vision_openai_server_a.py | vlm_models/test_npu_vlm_input_format.py
模型,inclusionAI/LLaDA2.0-mini,32.52 GB,16 files,basic_function/dllm/test_npu_llada2_mini.py
模型,Eco-Tech/Qwen3.6-27B-w8a8,32.15 GB,23 files,accuracy/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in3k5_out1k5_50ms_gpqa.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in3k5_out1k5_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in64k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in128k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in16k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in64k_out1k_50ms.py
